POLR2A_GSM2316356	AUC = 0.650
KDM5B_GSM1122662	AUC = 0.650
HDAC2_GSM830996	AUC = 0.650
SP1_GSM855449	AUC = 0.650
POLR2A_GSM1195568	AUC = 0.650
POLR2A_GSM1679130	AUC = 0.649
POLR2A_GSM2644610	AUC = 0.649
ESR1_GSM2797117	AUC = 0.649
ZMYND8_GSM2029574	AUC = 0.649
CSNK2A1_GSM1415123	AUC = 0.649
MYC_GSM2082058	AUC = 0.649
POLR2A_GSM1545660	AUC = 0.649
POLR2A_GSM1820485	AUC = 0.649
POLR2A_GSM1820479	AUC = 0.649
BRD4_GSM1038270	AUC = 0.649
POLR2A_GSM891242	AUC = 0.649
POLR2A_GSM1537295	AUC = 0.649
E2F1_GSM935477	AUC = 0.649
NR3C1_GSM980660	AUC = 0.649
BRD2_GSM2265636	AUC = 0.649
ZBTB17_GSM1181982	AUC = 0.649
CHD1_GSM830989	AUC = 0.649
POLR2A_GSM2664036	AUC = 0.649
ASCL1_GSM1700639	AUC = 0.648
PHF8_GSM831009	AUC = 0.648
H2AZ_GSM487695	AUC = 0.648
ZFX_GSM1057372	AUC = 0.648
ESR1_GSM2797103	AUC = 0.648
HDAC2_GSM831029	AUC = 0.648
HDAC2_GSM1003472	AUC = 0.648
INTS11_GSM2257578	AUC = 0.648
POLR2A_GSM696844	AUC = 0.648
KLF5_GSM1208642	AUC = 0.648
SP2_GSM2026796	AUC = 0.648
HDAC3_GSM717402	AUC = 0.648
YY1_GSM2026776	AUC = 0.648
EZH2_GSM1427074	AUC = 0.648
POLR2A_GSM2789805	AUC = 0.648
MYC_GSM894058	AUC = 0.648
POLR2A_GSM1545668	AUC = 0.648
PHF8_GSM1003450	AUC = 0.647
ESR1_GSM798399	AUC = 0.647
ESR1_GSM2797094	AUC = 0.647
POLR2A_GSM2113332	AUC = 0.647
MBD2_GSM1006707	AUC = 0.647
FLI1_GSM863153	AUC = 0.647
ESR1_GSM2797096	AUC = 0.647
DROSHA_ENCSR316JQA_1	AUC = 0.647
FOXA1_GSM2537228	AUC = 0.647
POLR2A_GSM2309434	AUC = 0.647
KMT2A_GSM2364542	AUC = 0.647
POLR2A_GSM2309435	AUC = 0.647
POLR2A_GSM1727103	AUC = 0.647
POLR2A_GSM1545658	AUC = 0.647
ESR1_GSM1003731	AUC = 0.647
POLR2A_GSM2769059	AUC = 0.647
POLR2A_GSM1276020	AUC = 0.647
SPI1_GSM1566549	AUC = 0.647
POLR2A_GSM2571052	AUC = 0.647
POLR2A_GSM1820478	AUC = 0.647
ESR1_GSM1643998	AUC = 0.647
POLR2A_GSM2113333	AUC = 0.647
BMI1_GSM855011	AUC = 0.647
E2F1_GSM1207917	AUC = 0.647
CTCFL_GSM1817668	AUC = 0.647
POLR2A_GSM1820484	AUC = 0.646
TAF1_GSM1010805	AUC = 0.646
SP1_GSM1661546	AUC = 0.646
PAF1_GSM1727097	AUC = 0.646
POLR2A_GSM1059396	AUC = 0.646
POLR2A_GSM2664037	AUC = 0.646
POLR2A_GSM2067538	AUC = 0.646
BRD3_GSM1328974	AUC = 0.646
KLF15_GSM2026885	AUC = 0.646
EZH2_GSM1427070	AUC = 0.646
SNAI2_GSM1336152	AUC = 0.646
POLR2A_GSM1846801	AUC = 0.646
POLR2A_GSM1846790	AUC = 0.646
BCL11A_GSM2771530	AUC = 0.646
POLR3D_GSM2544234	AUC = 0.645
POLR2A_GSM2135495	AUC = 0.645
POLR2A_GSM2789807	AUC = 0.645
ZNF143_GSM2024873	AUC = 0.645
SNAI2_GSM1336155	AUC = 0.645
ZNF143_GSM2024875	AUC = 0.645
ASCL1_GSM1499405	AUC = 0.645
YAP1_GSM1377693	AUC = 0.645
E2F1_GSM699988	AUC = 0.645
UBTF_GSM935338	AUC = 0.645
