TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
DNMT1,1.631,5.14E-02,2.291,0.558,0.165,2.01E-02
KLF16,1.565,5.88E-02,2.142,0.566,0.165,2.04E-02
POLR2M,1.897,2.89E-02,1.542,0.576,0.166,2.05E-02
CDC5L,1.58,5.71E-02,1.96,0.571,0.166,2.05E-02
NR2F6,1.427,7.68E-02,1.942,0.577,0.166,2.06E-02
TFAP2C,2.181,1.46E-02,1.898,0.561,0.167,2.09E-02
SOX2,1.315,9.42E-02,1.412,0.613,0.167,2.09E-02
AEBP2,1.39,8.22E-02,2.496,0.558,0.168,2.14E-02
DNMT3B,1.327,9.23E-02,1.961,0.579,0.17,2.20E-02
MYC,6.702,1.03E-11,0.347,0.623,0.17,2.21E-02
BRD9,1.399,8.09E-02,1.578,0.59,0.17,2.21E-02
FOXH1,1.441,7.49E-02,2.2,0.563,0.172,2.28E-02
ZNF641,1.56,5.94E-02,2.095,0.564,0.173,2.33E-02
TCF7L2,0.916,1.80E-01,1.433,0.664,0.173,2.34E-02
SETX,1.364,8.62E-02,1.714,0.582,0.173,2.34E-02
KDM5B,2.161,1.54E-02,1.055,0.589,0.174,2.37E-02
L3MBTL4,1.336,9.08E-02,1.837,0.579,0.175,2.41E-02
ZNF16,1.002,1.58E-01,2.178,0.577,0.177,2.51E-02
ZNF488,1.284,9.97E-02,2.778,0.55,0.179,2.60E-02
HNF4A,1.879,3.01E-02,1.281,0.576,0.18,2.64E-02
ZFP41,1.311,9.50E-02,2.608,0.551,0.181,2.68E-02
TEAD2,1.359,8.72E-02,2.391,0.555,0.182,2.72E-02
USF2,1.622,5.24E-02,1.185,0.589,0.183,2.74E-02
SMARCC2,1.694,4.52E-02,1.531,0.569,0.184,2.81E-02
RB1,2.183,1.45E-02,0.638,0.6,0.188,2.99E-02
DPF1,1.139,1.27E-01,2.528,0.553,0.19,3.10E-02
DEK,1.035,1.50E-01,1.304,0.608,0.192,3.17E-02
NFIC,1.231,1.09E-01,1.808,0.569,0.193,3.24E-02
KDM5C,2.052,2.01E-02,0.631,0.601,0.193,3.24E-02
SCRT1,1.398,8.11E-02,2.343,0.549,0.193,3.26E-02
SSU72,1.219,1.11E-01,1.829,0.57,0.193,3.26E-02
CBX3,0.617,2.69E-01,2.039,0.601,0.196,3.37E-02
LMNA,1.121,1.31E-01,2.145,0.564,0.196,3.40E-02
RNF2,1.554,6.01E-02,0.87,0.596,0.197,3.44E-02
TRRAP,1.649,4.96E-02,1.099,0.579,0.197,3.46E-02
DPF2,1.088,1.38E-01,2.299,0.558,0.2,3.59E-02
ZNF2,1.562,5.91E-02,1.673,0.559,0.201,3.67E-02
CCDC101,1.622,5.24E-02,1.027,0.58,0.202,3.71E-02
HIF1A,0.921,1.79E-01,2.494,0.555,0.205,3.87E-02
FOXM1,2.069,1.93E-02,0.608,0.589,0.206,3.93E-02
SON,1.207,1.14E-01,1.556,0.569,0.207,4.00E-02
MAFF,1.135,1.28E-01,2.428,0.547,0.209,4.10E-02
NFATC3,1.043,1.49E-01,2.171,0.558,0.209,4.10E-02
NME2,1.273,1.01E-01,2.177,0.548,0.21,4.14E-02
HSF1,1.599,5.50E-02,0.685,0.593,0.21,4.16E-02
E2F7,1.603,5.45E-02,1.003,0.576,0.21,4.16E-02
NFIA,0.985,1.62E-01,1.873,0.567,0.213,4.36E-02
WDHD1,1.427,7.68E-02,1.687,0.555,0.215,4.45E-02
GLYR1,1.221,1.11E-01,1.405,0.571,0.215,4.45E-02
ZNF138,0.959,1.69E-01,2.4,0.551,0.215,4.47E-02
CEBPG,1.546,6.10E-02,2.165,0.541,0.215,4.49E-02
ZNF623,1.205,1.14E-01,2.319,0.544,0.216,4.52E-02
SIX4,0.887,1.88E-01,3.184,0.545,0.216,4.54E-02
DACOR1,0.914,1.81E-01,2.545,0.547,0.217,4.63E-02
ZNF687,1.552,6.04E-02,1.368,0.562,0.218,4.65E-02
NFIL3,1.109,1.34E-01,1.832,0.562,0.219,4.72E-02
ZNF750,0.975,1.65E-01,2.197,0.553,0.219,4.75E-02
CSDE1,1.557,5.98E-02,1.537,0.552,0.222,4.91E-02
PTTG1,1.155,1.24E-01,2.163,0.548,0.222,4.93E-02
ZNF436,1.046,1.48E-01,1.889,0.558,0.225,5.13E-02
PRDM2,1.483,6.91E-02,1.245,0.563,0.225,5.15E-02
TFAP2A,1.44,7.49E-02,1.292,0.562,0.226,5.23E-02
HDGF,1.356,8.75E-02,1.371,0.562,0.227,5.25E-02
MECP2,1.604,5.44E-02,0.71,0.575,0.228,5.30E-02
LHX2,0.689,2.45E-01,1.536,0.584,0.231,5.53E-02
UBE2I,0.98,1.64E-01,2.039,0.553,0.232,5.61E-02
YBX3,1.229,1.10E-01,1.335,0.563,0.233,5.71E-02
ZNF24,1.906,2.83E-02,1.534,0.541,0.234,5.74E-02
ZNF707,0.59,2.78E-01,1.909,0.574,0.235,5.85E-02
ZNF280D,1.224,1.11E-01,1.689,0.55,0.235,5.87E-02
ZEB2,1.611,5.36E-02,1.712,0.54,0.237,5.98E-02
ZNF701,0.961,1.68E-01,2.023,0.552,0.237,6.01E-02
ZNF781,0.962,1.68E-01,2.407,0.541,0.238,6.09E-02
CDCA2,0.964,1.68E-01,1.917,0.552,0.239,6.18E-02
ZNF239,1.196,1.16E-01,1.965,0.544,0.239,6.18E-02
TERC,1.519,6.43E-02,1.756,0.541,0.24,6.20E-02
CBX1,1.18,1.19E-01,1.208,0.565,0.24,6.23E-02
ZNF140,0.838,2.01E-01,2.309,0.547,0.241,6.29E-02
GLIS1,1.588,5.61E-02,1.58,0.542,0.241,6.29E-02
GREB1,1.345,8.93E-02,1.708,0.544,0.241,6.29E-02
SMARCB1,1.428,7.67E-02,0.821,0.568,0.241,6.32E-02
TGIF2,1.403,8.03E-02,1.21,0.556,0.243,6.49E-02
RAD51,1.128,1.30E-01,2.135,0.541,0.244,6.52E-02
SMARCA2,0.994,1.60E-01,1.734,0.552,0.244,6.57E-02
